date/time,settlement id,type,order id,Sku,description,quantity,marketplace,account type,fulfillment,order city,order state,order postal,product sales,shipping credits,gift wrap credits,promotional rebates,Total sales tax liable(GST before adjusting TCS),TCS-CGST,TCS-SGST,TCS-IGST,TDS (Section 194-O),selling fees,fba fees,other transaction fees,other,total
1 Jul 2025 6:30:01 pm UTC,25065904812,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,021.85",-363.93,"-2,385.78"
2 Jul 2025 10:56:57 am UTC,24977558152,Reimbursements,406-1023306-1755525,Oxy-Med Mini 5 LPM_M,Reimbursement issued for lost or damaged package,1,amazon.in,Cash On Delivery Transactions and Non-Transactional Fees,Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,0,"35,955.56","35,955.56"
2 Jul 2025 4:39:03 pm UTC,25065904812,Service Fee,,,Cost of Advertising,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,"-2,000.65",-360.12,"-2,360.77"
3 Jul 2025 11:28:06 am UTC,25107956832,Shipping Services,402-1885012-2925112,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-497.96,0,-497.96
3 Jul 2025 12:20:26 pm UTC,25107956832,Order,402-1885012-2925112,5LPM,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,BENGALURU,KARNATAKA,560064,"40,178.57",0,0,0,"4,821.43",0,0,-200.89,-40.18,"-2,655.00",0,-75.52,0,"42,028.41"
3 Jul 2025 11:30:51 pm UTC,25021246662,Transfer,,,To account ending with: 894,,,Cash On Delivery Transactions and Non-Transactional Fees,,,,,0,0,0,0,0,0,0,0,0,0,0,0,"-35,955.56","-35,955.56"
3 Jul 2025 11:32:28 pm UTC,25107956832,Transfer,,,To account ending with: 894,,,Electronic Transactions (Credit Card/Net Banking/GC),,,,,0,0,0,0,0,0,0,0,0,0,0,0,"-3,61,677.17","-3,61,677.17"
4 Jul 2025 9:40:02 am UTC,25107956832,Shipping Services,408-8394380-3585958,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-497.96,0,-497.96
4 Jul 2025 9:40:12 am UTC,25107956832,Shipping Services,403-9272106-4789946,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-497.96,0,-497.96
4 Jul 2025 9:40:19 am UTC,25107956832,Shipping Services,171-2867755-1471568,,Easy Ship weight handling fees,,Amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,,,,0,0,0,0,0,0,0,0,0,0,0,-497.96,0,-497.96
4 Jul 2025 9:56:23 am UTC,25107956832,Order,403-9272106-4789946,5LPM,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,BENGALURU,KARNATAKA,560005,"40,178.57",0,0,0,"4,821.43",0,0,-200.89,-40.19,"-2,655.00",0,-75.52,0,"42,028.40"
4 Jul 2025 9:56:30 am UTC,25107956832,Order,408-8394380-3585958,5LPM,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,SOUTH GOA,GOA,403710,"40,178.57",0,0,0,"4,821.43",0,0,-200.89,-40.19,"-2,655.00",0,-75.52,0,"42,028.40"
4 Jul 2025 9:56:37 am UTC,25107956832,Order,171-2867755-1471568,5LPM,"Oxy-Med Mini 5 LPM Oxygen Concentrator with 95%(+/-3%) Purity of Oxygen, Inbuilt Nebulizer and Inbuilt Oxygen Purity Display with 3 years All India Wa",1,amazon.in,Electronic Transactions (Credit Card/Net Banking/GC),Merchant,PALLIKKUNNU,KERALA,670004,"40,178.57",0,0,0,"4,821.43",0,0,-200.89,-40.18,"-2,655.00",0,-75.52,0,"42,028.41"
